player_name,team,height,min_year,max_year,pos_class,min_per,offensive_rating,defensive_rating,defensive_points_ov_replacement,defensive_stop,usage_rate,effective_field_goal_pct,shooting_pct,offensive_rebound_pct,defensive_rebound_pct,freethrow_made,freethrow_attempted,2p_made,2p_attempted,3p_made,3p_attempted,block_pct,steal_pct,pick,offensive_reb,defensive_reb,total_reb,assists,steals,blocks,points_scored,box_plus_minus,box_offensive_plus_minus,box_defensive_plus_minus,global_plus_minus,offensive_global_plus_minus,defensive_global_plus_minus,ncaa_id,cluster,PC1,PC2
Ryan Reid,Florida St.,259.08,2010,2010,C,54.8,97.5,93.5205,2.9837700000000003,117.284,18.3,49.1,51.58,9.9,10.0,46,77,82,167,0,0,2.6,1.5,57.0,1.871,2.0968,3.9677,1.129,0.5806,0.5161,6.7742,2.50667,-0.238258,2.74493,2.72072,0.514712,2.20601,32811,0,0.48848750885790876,-6.70503178514996
Jeremy Evans,Western Kentucky,289.56,2010,2010,C,65.3,129.2,95.1372,2.78986,192.491,17.3,65.6,66.82,13.5,17.8,64,93,134,199,3,12,7.2,1.9,55.0,2.9706,3.9412,6.9118,0.7353,0.8235,1.7941,10.0294,8.08383,3.91722,4.16661,6.18888,4.051,2.13788,18618,1,3.7415542467413876,-1.9589034279807613
Greivis Vasquez,Maryland,198.12,2010,2010,Pure PG,84.8,111.7,97.2737,3.94793,211.734,30.7,49.7,55.02,3.9,10.3,138,161,151,320,67,186,1.0,2.9,28.0,1.1875,3.5312,4.7188,6.3438,1.7188,0.3438,20.0312,9.25869,7.75068,1.50801,9.97327,8.041260000000001,1.932,14293,2,-3.2536776461861487,2.984783429756126
Cole Aldrich,Kansas,350.52,2010,2010,C,66.4,116.9,82.6828,4.50588,264.514,20.2,56.2,59.61,13.6,25.4,108,159,149,265,0,0,13.0,1.6,11.0,3.0556,6.7778,9.8333,0.8611,0.75,3.4722,11.2778,11.6948,3.18819,8.50663,9.9848,4.74326,5.2415400000000005,7422,1,7.854887931868029,0.9012753882266861
Lazar Hayward,Marquette,198.12,2010,2010,Wing F,79.5,108.1,92.9318,4.27275,240.072,29.6,49.5,53.63,8.2,21.3,107,127,157,328,65,186,1.7,3.6,30.0,2.1176,5.4118,7.5294,1.5294,1.8824,0.5294,18.1176,6.82767,4.14841,2.67926,6.648,4.82618,1.82182,24405,2,-0.3807372386498566,1.5493936831229054
Jordan Crawford,Xavier,137.16,2010,2010,Combo G,79.4,113.0,97.334,3.6428,213.404,28.9,53.2,56.43,3.4,12.0,119,154,181,361,79,202,0.6,2.4,27.0,0.9714,3.7714,4.7429,2.8857,1.3429,0.2,20.5143,7.51311,6.47642,1.0367,9.56247,8.04605,1.51642,20075,2,-3.069802213234692,2.37677484054526
Landry Fields,Stanford,228.6,2010,2010,Wing F,90.3,110.3,97.9116,4.14431,252.206,31.0,51.9,56.04,7.9,20.6,179,257,219,420,29,86,2.3,2.6,39.0,2.5312,6.2188,8.75,2.7812,1.5938,0.7812,22.0,8.935319999999999,5.67647,3.25885,10.602,8.16358,2.43847,24223,1,0.6709631797920595,4.802672846753733
Solomon Alabi,Florida St.,48.26,2010,2010,C,63.8,110.7,87.2086,3.85983,176.31799999999998,22.2,53.4,59.63,11.6,15.7,108,136,133,249,0,0,10.4,1.4,50.0,2.4688,3.7188,6.1875,0.5,0.625,2.3438,11.6875,6.53286,0.499021,6.0338400000000005,6.930680000000001,2.74912,4.18156,34149,0,3.261380077108011,-2.3557626435027244
Evan Turner,Ohio St.,228.6,2010,2010,Wing F,74.4,108.9,87.8032,5.2569300000000005,257.401,34.5,54.0,58.15,7.4,23.5,138,182,217,402,20,55,2.9,3.0,2.0,2.0,7.1613,9.1613,5.9677,1.7419,0.9032,20.3871,11.457,5.75189,5.7051,11.3391,7.0185,4.32057,13070,1,2.2375149174000444,5.093800288896704
Dominique Jones,South Florida,137.16,2010,2010,Combo G,92.0,110.1,98.0138,4.35227,235.792,30.2,50.3,56.22,3.6,14.9,209,282,170,326,52,167,1.6,2.8,25.0,1.1212,4.9697,6.0909,3.6364,1.6969999999999998,0.5758,21.3636,8.4962,5.97313,2.52308,9.79203,6.99379,2.7982400000000003,11222,2,-2.0893481906202553,4.139056493786181
Trevor Booker,Clemson,228.6,2010,2010,Wing F,76.9,112.0,88.4183,4.46515,225.348,24.7,53.3,54.95,10.1,20.4,101,171,179,327,9,34,4.6,2.5,23.0,2.7812,5.5938,8.375,2.5312,1.3438,1.4062,15.1875,9.79521,4.772959999999999,5.02225,10.0595,6.40153,3.65793,36544,1,2.9404882029979627,1.8888644423862306
