nba_id,ncaa_id
202322,19599
202323,13070
202324,10482
202325,37984
202326,9911
202327,12199
202328,14236
202329,894
202330,14042
202332,7422
202333,38423
202334,12037
202335,30210
202339,12638
202340,2922
202341,17083
202342,7989
202343,12441
202344,36544
202346,11222
202347,30892
202348,20075
202349,14293
202350,8825
202351,24405
202355,14499
202359,9037
202360,1924
202361,24223
202362,24174
202363,17712
202365,10735
202366,18785
202371,13571
202374,34149
202376,25063
202378,38310
202379,18618
202380,14377
202385,32811
202682,10522
202688,4081
202689,22585
202694,25874
202697,14903
202698,6886
202701,29547
202702,22699
202705,26310
202707,15634
202708,29566
202712,21459
202713,23891
202714,33958
202715,37150
202716,20453
202718,6123
202720,19743
202721,9134
202723,25423
202724,6199
202725,20717
202726,1787
202727,36209
202728,22422
202729,20880
202730,24368
202731,37687
202732,9867
202734,11963
202738,15219
202918,38459
203077,27485
203079,11064
203080,35605
203082,35385
203085,2863
203086,27251
203087,18650
203088,22631
203089,19462
203091,32529
203092,37324
203093,35377
203094,1838
203096,17545
203097,13128
203098,19472
203099,17496
203100,36024
203101,28052
203102,2546
203103,30429
203104,26265
203105,13213
203106,18438
203108,3416
203111,29807
203112,30860
203113,30889
203115,38071
203116,37512
203117,11474
203118,27909
203119,23355
203121,9131
203122,23044
203124,23863
203126,23604
203130,9113
203133,32003
203135,32128
203186,38306
203318,13997
203457,28892
203459,1328
203460,1669
203461,2029
203462,2455
203463,3287
203467,5824
203469,7393
203475,12793
203476,14043
203477,15068
203479,16876
203481,18420
203485,24807
203487,27350
203488,27865
203489,28749
203490,29878
203491,30516
203492,31410
203493,31538
203498,33633
203499,33720
203502,35999
203503,36012
203504,36615
203506,37725
203510,30637
203511,14094
203513,12814
203516,17144
203524,34155
203527,32725
203613,19939
203687,31552
203710,5111
203798,29944
203816,33377
203893,32571
203894,33634
203895,20269
203898,37112
203900,26105
203902,33556
203906,32513
203909,21750
203910,29069
203912,5108
203913,15670
203914,13680
203917,29289
203918,32251
203919,19967
203921,7278
203922,14009
203923,17321
203925,19135
203928,7941
203933,34720
203934,24108
203935,25910
203939,11828
203940,648
203943,29495
203946,5507
203950,17594
203953,15680
203954,19251
203956,28145
203962,20736
204065,9610
204098,38445
1626143,16276
1626147,21342
1626148,2045
1626149,28287
1626150,1791
1626154,31008
1626155,33009
1626159,21665
1626161,38282
1626163,13338
1626169,34274
1626170,18702
1626173,31315
1626176,31169
1626177,8431
1626178,32415
1626183,3906
1626191,6783
1626199,9273
1626202,20587
1626296,20381
1627215,37884
1627735,37852
1627737,26232
1627738,10944
1627740,14561
1627742,4055
1627743,10191
1627744,4630
1627745,8575
1627746,34114
1627747,5725
1627754,10974
1627755,37302
1627756,10321
1627757,34416
1627761,9879
1627762,19246
1627763,25394
1627767,6442
1627771,27416
1627773,30
1627774,16457
1627775,30189
1627778,6502
1627779,25884
1627781,25375
1627782,37952
1627785,15245
1627791,3193
1627820,37496
1627821,17309
1627846,391
1627883,16726
1627988,28440
1628365,26114
1628367,20747
1628372,10280
1628382,21478
1628383,21558
1628385,14465
1628387,14862
1628388,34756
1628391,8242
1628393,17975
1628395,19998
1628396,35960
1628397,15376
1628399,37190
1628402,13336
1628403,5353
1628407,11784
1628409,954
1628410,12115
1628411,38010
1628412,13340
1628413,19779
1628414,34100
1628416,37108
1628417,17602
1628421,10784
1628422,8634
1628430,29271
1628432,9717
1628443,21845
1628444,15669
1628495,28098
1628504,38453
1628506,24775
1628510,1890
1628605,11768
1628961,23573
1628962,37573
1628963,26370
1628972,36835
1628977,14382
1628980,15992
1628981,4747
1628982,27221
1628984,10910
1628985,10842
1628990,6113
1628993,1309
1628994,13820
1628999,38531
1629005,25559
1629010,18790
1629015,39018
1629016,29770
1629017,23310
1629019,1355
1629021,28319
1629028,9977
1629034,31424
1629035,5831
1629053,37777
1629055,11418
1629061,10234
1629116,1942
1629118,35626
1629122,15482
1629133,9316
1629147,19104
1629152,9949
1629203,18490
1629353,14967
1629604,5122
1629620,21592
1629621,25967
1629623,24667
1629625,21662
1629632,7348
1629633,17658
1629641,32361
1629642,28619
1629643,7205
1629644,21822
1629648,20005
1629649,14853
1629657,23811
1629662,27259
1629669,18221
1629670,20294
1629671,28183
1629672,12738
1629676,15193
1629678,621
1629680,26530
1629683,30927
1629685,11945
1629713,21479
1629714,17646
1629716,26219
1629717,2534
1629751,8435
1629755,14500
1629833,22511
1629962,10713
1630164,17319
1630171,15005
1630176,37683
1630179,37420
1630180,32939
1630184,23385
1630185,29224
1630186,16296
1630187,8826
1630189,37067
1630190,12338
1630193,14910
1630196,13224
1630198,15124
1630199,5950
1630201,25362
1630203,14118
1630215,17486
1630216,5951
1630218,32153
1630223,16678
1630240,32928
1630525,9493
1630527,3956
1630534,29639
1630535,14181
1630536,33812
1630543,15122
1630544,36336
1630547,17110
1630563,20991
1630564,31161
1630575,33373
1630580,19231
1630587,15140
1630604,11981
1631093,16160
1631100,122
1631102,37549
1631112,22618
1631113,22686
1631127,14453
1631211,36563
1631243,28359
1641706,4108
1641723,23429
1641726,10378
1641732,7406
1641735,1473
1641749,23153
1641754,33605
1641771,16791
1641803,36817
1642272,17517
1642285,5477
1642349,824
1642367,19894
1642402,12621
